storeNumber,area,description,type,paymeKassaId,sortKey
26/8,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b246,218
26/9,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b247,219
26/10,6,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b248,220
26/12,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b249,221
26/13,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b250,222
26/14,4.5,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b251,223
26/14a,4.5,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b252,224
26/15,4.5,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b253,225
26/15a,4.5,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b254,226
26/16,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b255,227
26/17,4.5,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b256,228
26/18,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b257,229
26/19,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b258,230
26/19a,4.5,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b259,231
27/1,15.75,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b260,232
27/2,15.75,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b261,233
28/1,20,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b262,234
28/2,20,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b263,235
28/4,20,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b264,236
28/5,20,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b265,237
28/6,20,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b266,238
28/16,20,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b267,239
29/1,20,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b268,240
29/2,20,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b269,241
29/3,20,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b270,242
29/4,20,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b271,243
29/5,20,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b272,244
29/6,20,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b273,245
29/7,20,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b274,246
30/2,20,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b275,247
31/5,20,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b276,248
31/11,20,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b277,249
31/12,10,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b278,250
31/12a,10,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b279,251
31/13,10,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b280,252
15,16,банкомат,SHOP,68b142e5b8dc9a4fcc7e5b281,253
16,16,банкомат,SHOP,68b142e5b8dc9a4fcc7e5b282,254
